Domain,Monolingual English,A,B,C,D,answer,Source
History,Who inaugurated Sukkur Barrage?,Sir George Lloyd ,Quaid-e-Azam Muhammad Ali Jinnah,Lord Wellington,Sir Arnold Musto,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,The Lari dialect is spoken in which part of Sindh?,Lower Sindh,Upper Sindh,Central Sindh,Western Sindh,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,How many letters are there in the Sindhi language?,52,42,55,48,A,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
Geography,Which is the main river of Sindh?,Ravi River,Jhelum River, Indus River,Chenab River,C,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
History,Where is the birthplace of Jhulelal located?,Umarkot ,Thatta,Sehwan,Nasarpur,D,https://www.funtrivia.com/trivia-quiz/World/Sindh--Sindhis-101660.html
History,What is the name of a famous fort in Sindh?,Ranikot Fort,Rohtas Fort,Derawar Fort,Umarkot Fort,A,https://askfilo.com/user-question-answers-smart-solutions/give-me-some-general-knowledge-sindhi-medium-100-3432303738363130
History,What is the name of the famous shrine in Sehwan Sharif?,Shah Jamal Shrine,Data Darbar,Lal Shahbaz Qalandar Shrine,Hinglaj Mata Temple,C,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
Geography,Which is the largest natural freshwater lake in Sindh?,Keenjhar Lake, Manchar Lake,Hamal Lake,Haleji Lake,B,https://irrigation.sindh.gov.pk/MIS/lakes
Geography,Where is Mohenjo-daro located?,Karachi,Sukkur,Nawabshah,Larkana ,D,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
History,How long does the history of Malakhro date back?,5000 years,500 years,2000 years,1000 years,A,https://tsgpakistan.com/malakhra/
History,Malakhro is primarily associated with which region?,Sindh,Punjab,Rajasthan,Kashmir,A,https://tsgpakistan.com/malakhra/
Culture,Sindhi Culture Day is celebrated on the first Sunday of which month?,August,July,December ,November,C,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
History,Which ancient archaeological site in Pakistan is often referred to as the “City of the Dead”?,Mohenjo-daro,Takht-i-Bahi,Taxila,Harappa,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,Where is the Shah Jahan Mosque located?,Thatta,Larkana,Hyderabad,Nawabshah,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,What is Larkana widely known as?,The Eden of Sindh,The city of saints,The city of gardens,The land of Moenjodaro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Who gave the title “Rehbar-e-Sindh” to Sain Ghulam Muhammad Syed?,Muhammad Ali Jinnah,Abdul Sattar Edhi,Ghulam Ali Allana, Mirza Qaleech Baig,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Sindh Mansura is located in which area?,Sanghar,Matiari,Hyderabad,Tharparkar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,How many administrative divisions are there in Sindh?,9,6,4,3,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The largest coal reserves are found in which area?,Thal,Karachi,Thar,Thatta,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,What is the Sindhi Ajrak primarily made of?,Cotton,Jute,Silk,Wool,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which city in Sindh is known for its woodwork industry?,Shikarpur,kotri,Thatta,Larkana,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,In which language is Risalo the most well-known collection of romantic poetry written?,Arabic ,Urdu,Sindhi,Persian,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The shrine of Shah Abdul Latif Bhittai is located in which place?,Bhit Shah,Sibbi,Jaccobabad,Hala,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Mohenjo-daro is a 4000-year-old city of which civilization?,Indus civilization,Taxila civilization,Both of them,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Mohenjo-daro is located on the west bank of the Indus River in which region?,Central Sindh ,Lower sindh,Upper Sindh,Southern Sindh,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Lal Shahbaz Qalandar wrote several books in Persian and which other language?,Urdu ,Sindhi,Arabic,Punjabi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the Thar Desert also called?,Friendly desert,Hot desert,Cool desert,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,How many barrages are there in Sindh?,7,4,3,5,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Marvi is a folk tale of what?,Sindh,Thar,Thal, Seraiki,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The Sindh Provincial Museum is located in which city?,larkana ,Hyderabad,Karachi,jamshoro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The Lari dialect is spoken in which region?,Punjab,Upper Sindh,Central Sindh,lower sindh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The Sindhi language is based on which script?,Arabic,Persian,Dravidian,Sanskirit,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Into which body of water does the Indus River flow?,Cape Monze, Arabian Sea,makaran coast,None of them,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where are the Kirthar Hills located?,Sindh,Gilgit Baltistan,Punjab,FATA,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the total area of Sindh?,"140,914sq.km","130,914sq.km","140,814sq.km","120,914sq.km",A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is Tangwani located in Pakistan?,Sindh,KPK,Balochistan,Punjab,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Which fort is known as the “Great Wall of Sindh”?,ranikot fort,Schwan Fort,Bukkur Fort,Naukot Fort,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Which poet wrote verses in seven languages?,Sachal Sarmast,Latif Bhittai,Shahbaz Qalandar,Miran Shah,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The famous Sindhi song “Ho Jamalo” was composed in honor of Jamalo Baloch by whom?,Friends,Brother,Wife ,Parents,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Where was Mirza Kaleech Baig born?,1850,1890,1853,1773,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Which province of Pakistan is referred to as “Bab ul Islam”?,Sindh,Punjab,KPK,Balochistan,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,What is the name of the first novel in the Sindhi language?,Sindh muhnje saah me,Talash,Shah jo risalo, Zeenat,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Who is the author of the Sindhi novel “Sanghar”?,Dr Nabi bux Baloch,Dr Altaf jokhio, Muhammad Usman Deplai,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the White Desert (Achro Thar) located?, Karachi,Tharparkar,Dadu ,Khirpo,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,In which Hijri year did the Sindhi Sufi saint Sachal Sarmast die?,1242,1244,1248,None of these,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is the real name of Wataio Faqir?, Mubarak,Shaikh Ayaz,Watan mal,None of them,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What was the name of Ubaidullah Sindhi before accepting Islam?,Tara singh,Karak singh,Raj singh,Bhuta singh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,How many chapters are there in Shah Jo Risalo?,30,50,10,38,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is the highest peak in Sindh?, loi Naikan,Sakesar,Zardak,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The novel “Zeenat” was written by whom?, Sachal Sarmast,Shaikh Ayaz,Mirza Qaleech baig,Amar jaleel,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Ghulam Muhammad Barrage is also known by which other name?,Kotri Barrage,Kandyaro Barrage, Indus Barrage,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The three-century-old heritage mosque Khudabad is located in which city of Sindh?,Khairpur ,Umarkot,Dadu, Karachi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the tomb of the Sufi poet Allan Fakir located?,Matiari,Jamshoro,Hyderabad,Sukkur,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Mia Sahib Dino Farooqui was a renowned Sindhi poet of which period?,Ghazal,Geet,Bait, Kaafi,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"During the Kalhora rule, which language was the official language of Sindh?",Arabic,Sindhi,Urdu, Persian,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is the original name of the Sufi poet Sachal Sarmast?,Abdul Wahab Faruqi,Abdul Haque,Abdullah,Abdul Ghani,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The local language of Umerkot belongs to which Rajasthani language group of the Indo-Aryan family?,Marwari,Urdu, Dhatki,Sindhi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Shah Abdul Latif Bhittai is a famous Sindhi poet of which period?,17th century,18th century,16th century,15th century,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is another name for Kot Diji Fort located in Khairpur?,Fort Ahmedabad ,Fort Ahmed,Fort Mir Ahmed,Fort Khairpur,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Who was the first Chief Commissioner and Governor of Sindh during the British period?, Loius,Charls Naiper,Johan Jacab, None of these,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which district of Sindh is called the “Sugar State” due to sugar production?,Badin,Tharparkar,Larkana,Karachi,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Chandka is the old name of which place?,Nawabshah ,Sukkur,Larkana,Jamshoro,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Chittori is the historic ancestral graveyard of the Talpur Mirs located in which place?,Umerkot , Kandhkot,Ghotki,Mirpurkhas,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the most famous fruit of Larkana?,Apple ,Guava,Orange,Grapes,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The “Seven Queens of Sindh” are mentioned in which work?, Shah Jo Risalo,Pirs of Sindh,Sindh Ja Surma,Mashriq Ki Betiyan,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which river does not flow through the province of Sindh?,Indus,Sutlej,Ravi,Jhelum ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is a major natural lake located in Sindh?,Attabad Lake  ,Keenjhar Lake,Satpara Lake,Saif-ul-Muluk Lake,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is a major agricultural product of Sindh?,Cotton,Cocoa,Coffee,Tea,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Which is a traditional Sindhi musical instrument commonly played during cultural festivities and weddings?,Alghoza,Sarangi,Harmonium,Sitar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which desert in Sindh is known for its white sand dunes and salt deposits?,Thar Desert,Kharan Desert,White Desert (Achro Thar) ,Cholistan Desert,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The folk tale of “Umar Marvi” belongs to which region?,Kohistan ,Tharparkar,Shikarpur,Larkana,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,At which saint’s shrine is the devotional dance “Dhamal” performed in Sindh?,Abdullah Shah Ghazi ,Shah Abdul Latif Bhittai,Sachal Sarmast,Qalandar Lal Shahbaz,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the shrine of Abdullah Shah Ghazi located?,Karachi,Thatta,Larkana,Badin,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
